Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Thailand/SI204512-NT/2020	Thailand	Thailand	EPI_ISL_437610		Asia	Asia	Faculty of Medicine	Rodpan et al
Israel/990059252/2020	South Coast District	South Coast District	EPI_ISL_447268	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Italy/484/2020	Europe	Europe	EPI_ISL_457749	Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy	Europe	Europe	Army Medical and Veterinary Research Center	Paola Stefanelli et al B
Finland/FIN-266/2020	Europe	Asia	EPI_ISL_414646	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Europe	Asia	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al A
Sweden/20-08040/2020	Europe	Europe	EPI_ISL_454436	Halmstad klinisk mikrobiologi	Europe	Europe	The Public Health Agency of Sweden	Anna-Malin Linde et al
Vietnam/VNHN_2406/2020	Red River Delta	Red River Delta	EPI_ISL_455700	National Hospital of Tropical Diseases	Asia	Asia	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
Norway/2200/2020	Europe	Europe	EPI_ISL_447837	Dept. of Medical Microbiology, Stavanger University Hospital, Helse Stavanger HF,	Europe	Europe	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Kazakhstan/NCB-2/2020	Nur-Sultan	Nur-Sultan	EPI_ISL_435046	Laboratory of Applied Genetics	Asia	Asia	RSE "National Center for Biotechnology"	Shevtsov et al
Norway/2356-2/2020	Europe	Europe	EPI_ISL_449786	Ostfold Hospital Trust - Kalnes, Centre for Laboratory Medicine, Section for gene technology and infection serology	Europe	Europe	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
env/Beijing/BJ2456/2020	Beijing	Beijing	EPI_ISL_430745	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
env/Beijing/BJ2454/2020	Beijing	Beijing	EPI_ISL_430744	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
env/Beijing/BJ2460/2020	Beijing	Beijing	EPI_ISL_430746	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
env/Beijing/BJ2452/2020	Beijing	Beijing	EPI_ISL_430743	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
UnitedArabEmirates/L1076/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435128	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
Oman/RESP-20-5505/2020	Muscat	Muscat	EPI_ISL_457994	Oman-NIC	Asia	Asia	Oman-NIC	Samira Al-Maruqi et al
Poland/PL_P32/2020	Europe	Europe	EPI_ISL_455445	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)	Europe	Europe	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).	Katarzyna Pancer et al
Poland/PL_P33/2020	Europe	Europe	EPI_ISL_455446	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)	Europe	Europe	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).	Katarzyna Pancer et al
Italy/INMI11-B/2020	Europe	Europe	EPI_ISL_451304	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Europe	Europe	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Cesare E.M. Gruber et al B
India/3118/2020	India	India	EPI_ISL_424364	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Asia	Asia	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav et al A (http://www.ijmr.org.in/article.asp?issn=0971-5916;year=2020;volume=151;issue=2;spage=255;epage=260;aulast=Potdar)
India/3239/2020	India	India	EPI_ISL_424365	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Asia	Asia	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav et al A (http://www.ijmr.org.in/article.asp?issn=0971-5916;year=2020;volume=151;issue=2;spage=255;epage=260;aulast=Potdar)
