Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Sichuan/SC-NC-078/2020	Sichuan	Sichuan	EPI_ISL_451337	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH1-133/2020	Hubei	Hubei	EPI_ISL_455366	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH2-146/2020	Hubei	Hubei	EPI_ISL_455370	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Guangdong/2020XN4291-P0038/2020	Guangdong	Guangdong	EPI_ISL_413889	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Wuhan/HB-WH1-129/2020	Hubei	Hubei	EPI_ISL_455364	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH1-144/2020	Hubei	Hubei	EPI_ISL_455368	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Guangzhou/GZMU0042/2020	Guangdong	Guangdong	EPI_ISL_414688	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University	Asia	Asia	The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen	Zhao et al et al
Guangzhou/GZMU0050/2020	Guangdong	Guangdong	EPI_ISL_429095	The First Affiliated Hospital of Guangzhou Medical University	Asia	Asia	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	et al
Wuhan/HB-WH5-230/2020	Hubei	Hubei	EPI_ISL_455392	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-MY-053/2020	Sichuan	Sichuan	EPI_ISL_451319	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-NC-074/2020	Sichuan	Sichuan	EPI_ISL_451333	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Beijing/DT-WH04/2020	Beijing	Hubei	EPI_ISL_452363	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Asia	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Sichuan/SC-NC-071/2020	Sichuan	Sichuan	EPI_ISL_451330	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC1-026/2020	Sichuan	Sichuan	EPI_ISL_451347	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
India/ILSCV14831/2020	Odisha	Odisha	EPI_ISL_463033	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
India/ILSCV14289/2020	Odisha	Odisha	EPI_ISL_463030	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
Sichuan/SC-WCH4-287/2020	Sichuan	Sichuan	EPI_ISL_451389	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-NC-073/2020	Sichuan	Sichuan	EPI_ISL_451332	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC1-032/2020	Sichuan	Sichuan	EPI_ISL_451353	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-MY-054/2020	Sichuan	Sichuan	EPI_ISL_451320	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH4-199/2020	Hubei	Hubei	EPI_ISL_455387	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH4-200/2020	Hubei	Hubei	EPI_ISL_454952	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH4-201/2020	Hubei	Hubei	EPI_ISL_454953	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH5-238/2020	Hubei	Hubei	EPI_ISL_454979	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH5-229/2020	Hubei	Hubei	EPI_ISL_454973	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH1-124/2020	Hubei	Hubei	EPI_ISL_454905	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC1-034/2020	Sichuan	Sichuan	EPI_ISL_451355	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-MY-056/2020	Sichuan	Sichuan	EPI_ISL_451322	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HBCDC-HB-04/2020	Hubei	Hubei	EPI_ISL_412980	Union Hospital of Tongji Medical College, Huazhong University of Science and Technology	Asia	Asia	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al A (https://dx.doi.org/10.1101/2020.03.04.976662)
Shanghai/SH0034/2020	Shanghai	Shanghai	EPI_ISL_416343	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0010/2020	Shanghai	Shanghai	EPI_ISL_416323	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Wuhan/WH04/2020	Hubei	Hubei	EPI_ISL_406801	General Hospital of Central Theater Command of People's Liberation Army of China	Asia	Asia	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al A (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
Nanchang/JX90/2020	Jiangxi	Jiangxi	EPI_ISL_421245	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Sichuan/SC-PHCC2-045/2020	Sichuan	Sichuan	EPI_ISL_451365	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Shangrao/JX105/2020	Jiangxi	Jiangxi	EPI_ISL_421239	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Tianmen/HBCDC-HB-07/2020	Hubei	Hubei	EPI_ISL_412983	Tianmen Center for Disease Control and Prevention	Asia	Asia	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al A (https://dx.doi.org/10.1101/2020.03.04.976662)
Wuhan/HBCDC-HB-02/2020	Hubei	Hubei	EPI_ISL_412978	The Central Hospital Of Wuhan	Asia	Asia	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al A (https://dx.doi.org/10.1101/2020.03.04.976662)
Shanghai/SH0030/2020	Shanghai	Shanghai	EPI_ISL_416339	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Wuhan/HBCDC-HB-06/2020	Hubei	Hubei	EPI_ISL_412982	Wuhan Lung Hospital	Asia	Asia	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al A (https://dx.doi.org/10.1101/2020.03.04.976662)
HongKong/HKU-904a/2020	Hong Kong	Hong Kong	EPI_ISL_450412		Asia	Asia	Microbiology	To et al
Nanchang/JX14/2020	Jiangxi	Jiangxi	EPI_ISL_421243	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Shanghai/SH0075/2020	Shanghai	Shanghai	EPI_ISL_416378	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Guangdong/MZ01/2020	Guangdong	Guangdong	EPI_ISL_454417		Asia	Asia	Research and Experiment Center	Guo et al
Guangdong/MZ02/2020	Guangdong	Guangdong	EPI_ISL_454418		Asia	Asia	Research and Experiment Center	Guo et al
Shanghai/SH0115/2020	Shanghai	Shanghai	EPI_ISL_416402	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Nanchang/JX39/2020	Jiangxi	Jiangxi	EPI_ISL_421248	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Yichun/JX2424/2020	Jiangxi	Jiangxi	EPI_ISL_455467	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Yichun/JX2391/2020	Jiangxi	Jiangxi	EPI_ISL_455461	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
England/01/2020	Europe	Asia	EPI_ISL_407071	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Europe	Asia	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
England/02/2020	Europe	Asia	EPI_ISL_407073	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Europe	Asia	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
Beijing/Wuhan_IME-BJ07/2020	Beijing	Beijing	EPI_ISL_424360		Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al
Beijing/BJ287/2020	Beijing	Beijing	EPI_ISL_430722	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Beijing/BJ288/2020	Beijing	Beijing	EPI_ISL_430725	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Wuhan/WHUH020/2020	Hubei	Hubei	EPI_ISL_449486		Asia	Asia	Department of Respiratory and Critical Care	Wang et al
Wuhan/WHUH001/2020	Hubei	Hubei	EPI_ISL_449476		Asia	Asia	Department of Respiratory and Critical Care	Wang et al
Wuhan/WHUH002/2020	Hubei	Hubei	EPI_ISL_449477		Asia	Asia	Department of Respiratory and Critical Care	Wang et al
Shanghai/SH0026/2020	Shanghai	Shanghai	EPI_ISL_416335	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0041/2020	Shanghai	Shanghai	EPI_ISL_416350	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
China/Shaoxing-09/2020	Zhejiang	Zhejiang	EPI_ISL_463901	Shaoxing Center for Disease Control and Prevention	Asia	Asia	Department of Pathology and Laboratory Medicine, University of California Los Angeles	Jinkun Chen et al
China/Shaoxing-10/2020	Zhejiang	Zhejiang	EPI_ISL_463902	Shaoxing Center for Disease Control and Prevention	Asia	Asia	Department of Pathology and Laboratory Medicine, University of California Los Angeles	Jinkun Chen et al
Zhejiang/CN5/2020	Zhejiang	Zhejiang	EPI_ISL_455685		Asia	Asia	Department of Microbiology	Gao et al
Zhejiang/CN2/2020	Zhejiang	Zhejiang	EPI_ISL_455684		Asia	Asia	Department of Microbiology	Gao et al
Shanghai/SH0021/2020	Shanghai	Shanghai	EPI_ISL_416330	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Guangdong/20SF117/2020	Guangdong	Guangdong	EPI_ISL_428447	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
India/1-31/2020	Kerala	China	EPI_ISL_413523	Indian Council of Medical Research-National Institute of Virology	Asia	Asia	National Influenza Center, Indian Council of Medical Research-National Institute of Virology	Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
HongKong/HKU-907a/2020	Hong Kong	Hong Kong	EPI_ISL_434567		Asia	Asia	Microbiology	To et al
Guangdong/2020XN4475-P0042/2020	Guangdong	Guangdong	EPI_ISL_413854	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
HongKong/HKU-907b/2020	Hong Kong	Hong Kong	EPI_ISL_434568		Asia	Asia	Microbiology	To et al
Shandong/LY003-2/2020	Shandong	Shandong	EPI_ISL_414936	Shandong Provincial Center for Disease Control and Prevention	Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang et al
Shandong/LY005-2/2020	Shandong	Shandong	EPI_ISL_414938	Shandong Provincial Center for Disease Control and Prevention	Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang et al
Shandong/LY006-2/2020	Shandong	Shandong	EPI_ISL_414939	Shandong Provincial Center for Disease Control and Prevention	Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang et al
Shandong/LY004-2/2020	Shandong	Shandong	EPI_ISL_414937	Shandong Provincial Center for Disease Control and Prevention	Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang et al
Shandong/LY008-2/2020	Shandong	Shandong	EPI_ISL_414941	Shandong Provincial Center for Disease Control and Prevention	Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang et al
Nanchang/JX177/2020	Jiangxi	Jiangxi	EPI_ISL_421241	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
SouthKorea/KCDC05/2020	Seoul	Seoul	EPI_ISL_412869	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Beijing/BJ1112/2020	Beijing	Beijing	EPI_ISL_430737	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Korea/KCDC2003/2020	South Korea	South Korea	EPI_ISL_426163	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Korea/KCDC2002/2020	South Korea	South Korea	EPI_ISL_425118	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Yunnan/IVDC-YN-003/2020	Yunnan	Yunnan	EPI_ISL_408480	National Institute for Viral Disease Control and Prevention, China CDC	Asia	Asia	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al C (https://dx.doi.org/10.1101/2020.02.29.971101)
USA/AZ1/2020	North America	Asia	EPI_ISL_406223	Arizona Department of Health Services	North America	Asia	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al (https://dx.doi.org/10.1101/2020.03.09.20032896)
Anhui/SZ005/2020	Anhui	Anhui	EPI_ISL_413485	Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention	Asia	Asia	Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention	Weiwei Li et al
SouthKorea/KCDC24/2020	Chungcheongnam	Chungcheongnam	EPI_ISL_412873	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Sichuan/SC-PHCC1-027/2020	Sichuan	Sichuan	EPI_ISL_451348	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC1-033/2020	Sichuan	Sichuan	EPI_ISL_451354	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Beijing/Wuhan_IME-BJ04/2020	Beijing	Beijing	EPI_ISL_424358		Asia	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al
SouthKorea/KCDC07/2020	Seoul	Seoul	EPI_ISL_412871	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Korea/KCDC2006/2020	South Korea	South Korea	EPI_ISL_426168	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Beijing/233/2020	Beijing	Beijing	EPI_ISL_413520		Asia	Asia	Infectious Disease Control Center	Li et al
Beijing/BJ589/2020	Beijing	Beijing	EPI_ISL_430738	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Korea/KCDC2009/2020	South Korea	South Korea	EPI_ISL_426173	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Korea/KCDC2008/2020	South Korea	South Korea	EPI_ISL_426171	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
